"Classe";"Texto"
"Contras";"acabamento interno pobre. cobertura do estepe no porta malas feita de material fragil.li aqui tambem que o sensor de luz do freio dava problemas, comigo não foi diferente. substitui a peça eu mesmo, e gastei 50 reais com ela."
"Contras";"Consumo na cidade"
"Contras";"Bebe muito e o motor tem um trepidação nos 1°s 30 ou 40 segundos após ligado."
"Contras";"QUANTO AO CONSUMO TODOS"
"Contras";"Freios ZERO, SOFRI UM ACIDENTE POR ESSE MOTIVO"
"Contras";"Visibilidade e consumo."
"Contras";"visibilidade dianteira, bebe sim bem... mas reflete o dono, que tb bebe mto...hahahe o motor é um pouco fraco para o tamanho do carro, deveria ser um 1.3 ou qlq coisa do tipo."
"Contras";"Tenho 2 anos com esse carro, uma merda. Bate tudo, já troquei as borrachas dianteiras duas vezes, se não fosse o som que coloquei ficaria doido com a barulheira. Consumo?altissimo, além de salientar que não pude usar somente alcool nesses dois anos, pois, ele não quis funcionar pela manhã, mesmo com o resevatorio cheio. Farol??axo que a minha moto Biz ilumina bem mais!!! Altura? toda lombada o carro arrasta. em baixo tá todo ralado, queria vê se rebaixasse como seria!!! Não tem porta luvas, o compartimento abaixo do banco toda hora emperra. A lataria? Basta encostar que ele amassa. Se passar por um buraco parece que o mundo acabou ou o carro desmontou. Ar condicionado de fabrica? Não gela, além de ter furado a mangueira ns vezes."
"Contras";"O consumo é um grande inimigo. Ok, é um carro 1.6 mas mesmo assim, bebe muito. Meu carro anterior era um Siena 1.3 16v que fazia 14km/l num percurso diario de pouca cidade e mais estrada. O Fox está fazendo bem menos, ainda não fiz média correta e só coloquei alcool."
"Contras";"Não ter porta-luvas..."
"Contras";"O acabamento, Instrumentos, Interior, Porta-malas..."
"Contras";"consumo, visão, ruidos internos,"
"Contras";"CONSUMO NA CIDADE"
"Contras";"consumo, desempenho, porta malas"
"Contras";"Material de acabamento péssimo. O carro possui muito plástico e conforme o tempo e o uso do carro barulhos são e estalos viram uma constante."
"Contras";"pessimo para andar , consumo de combustivel muito alto , pessimo em retomadas , tem que esticar muito as machas pra ele poder render alguma coisa ."
"Contras";"passei por 2 recalls de freio e de computador de ignição, com 1000 deu problema na pinça do freio, está apresentando um barulho estranho quando ligo o carro- me disseram que é problema na polia/correia, painel com porta coisas, porém tudo aberto as coisas caem com frequencia e o pior faz SÓ 5 KM por litro. Um absurdo!!!!!!!!!!já que a proposta é ter um carro econômico.A direção hidráulica faz chiado."
"Contras";"CONSUMO DO CARRO ABSURDAMENTE ABSURDAMENTE!!!! ALTISSIMO. COMO PODE UM CARRO 1.0 FAZER 5KM POR LITRO?????"
"Contras";"O consumo é um escândalo. Meu recorde de quilometragem é 450 km com 42 litros de gasolina aditivada - estrada/cidade. Com álcool não chega a 360 km com o mesmo tanque de 42 l. O motor de 76cv é visivelmente mais fraco que o do meu antigo Gol GIII, 1.0 - 8v com 62cv. Problema da relação peso/potência. Notei que o câmbio é muito reduzido, o que faz com que o carro tenha boas arrancadas em alta rotação, mas esta provavelmente é a causa do alto consumo, tendo em vista que ele roda a 80km/h em 3.000rpm, ou 4.000rpm a 100km/h. Tenho tambem um New Civic e este roda a 100km/h em 2.000rpm... Resumindo: o Civic com 140cv faz 11km/l no álcool enquanto o Fox 1.0 com 76cv não passa de 10km/l. Chega a dar um desânimo. Outro ponto negativo é a vizibilidade, muitas barras obstruindo a visão, na frente e atrás, mas o motorista acostuma com o tempo. O que não acostuma é a baixa resistência do acabamento interno. Os forros de porta arranham e descascam no impacto diário com as unhas dos ocupantes, p. ex."
"Contras";"VARIOS PONTOS CEGOS NAS BARRAS DIANTEIRAS E TRASEIRAS, SENDO QUE A VISIBILIDADE NAS CURVAS É RUIM, TRAZENDO PERIGO PARA O MOTORISTA. COMO JA FOI DITO, CONSUMO ALTO, É UM CARRO 1.6 COM CONSUMO DE 2.0. AR CONDICIONADO RUIM, FRACO, DEMORA MUITO A ESFRIAR DENTRO DO CARRO. PORTA DIFICIL DE FECHAR O CARRO ZERO VC TEM QUE BATER A PORTA COMO SE FOSSE DE UM FUSCA 78 PARA ELA FECHAR"
"Contras";"Consumo elevado e péssimo rendimento. Faz entre 5 e 6 Km por litro de álcool."
"Contras";"idem"
"Contras";"O CARRO FICA MAIS COM A MINHA ESPOSA DO QUE COMIGO. RS.. MAS NA VERDADE CREIO Q GASTA UM POUQUINHO MAIS QUE OS DEMAIS 1.0.. MAS NAO CHEGA A SER UM GRANDE PONTO NEGATIVO. eSTOU COM O CARRO A POUQUINHO MAIS DE 1 MES. O MEU É 2011/2012. nAO CONSEGUI ENCONTRAR MUITOS PONTOS NEGATIVOS AINDA."
"Contras";"barulhent"
"Contras";"Acabamento interno e consumo."
"Contras";"O PORTA MALAS É PEQUENO MAS O MEU TEM O BANCO TRASEIRO DE CORRER ENTAUM POSSO ALMENTAR UM POUCO MAIS O PORTA MALAS."
"Contras";"alto consumo de combustivel,"
"Contras";"Realmente o porta malas não é um dos melhores, mas com certeza cabe o suficiente para uma viagem."
"Contras";"Comprei um Fox 2008/2009, que tá cheio de problemas, alto consumo, oleo do veiculo some quase total, sem vazamentos e concessionaria diz que isso normal.Esse 4 carro vw que tive e nunca baixou oléo, nunca vi vw baixar oléo vem acontecendo com toda linha."
"Contras";"Visibilidade, vários pontos cegos, retrovisores com pontos cegos,qualidade dos materiais, Suspensão dianteira principalmente dá muito defeito!Rede concessionária muito relapsa, explica o defeito, e dizem...é assim mesmo!"
"Contras";"a visibilidade do motorista é péssima, o meu gasta muito combustível, existem muitos ruídos, o porta malas é pequeno, a 1ª as vezes entra com dificuldade,"
"Contras";"consumo no alcool, dá pra ver o ponteiro mexer."
"Contras";"A concessionária demorou a acertar a regulagem do freio, ele freiava só nas rodas dianteiras."
"Contras";"porta malas pequeno, retomada de velocidade em ultrapassagem ruim, consumo elevado, ruido interno e suspensão muito dura."
"Contras";"Os dois carros tem pontos super negativos. Primeiro Assim que minha mulher comprou o carro, percebi que o carro se quer tinha uma cobertura na barra por onde a direção logo abaixo do volante existe na verdade um pano igual aqueles que nós vemos os mendigos usando na rua por trás. O acabamento todo é de plástico bem marreta. Sem absolutamente nada em seu interior. Segundo Assim que pegamos o carro percebi que o carro parece aqueles Dragsters que fazem aquelas provas de arrasto de peso nos Estados Unidos Ou seja, o motor mal suporta o peso da carroceria. Não se trata do carro ser ruis em sí. Trata-se do fato de o conjunto não combinar. Infelizmente a VOLKSWAGUEM na ância de concorrer no mercado criou um carro bonito más feito nas coxas."
"Contras";"Bebedor, manutenção é absurdamente cara, consome muito os pneus, sem portamala..."
"Contras";"- Concessionárias VW têm o pior atendimento de Salvador, além de tentar de ludibriar sempre nas revisões, nas vendas. P. ex.: Na venda um Gol faz 20 Km G. Na oficina, 8."
"Contras";"o seu painel de instrumento nao esta compativel com o carro"
"Contras";"Atendimento da concessíonária e revisões."
"Contras";"Marcha ré muito fraca, acabamento interno ruim."
"Contras";"Acabamento inacreditavelmente ruim, realçando barulhos do motor e carroceria.Posição dos retrovisores incomoda."
"Contras";"Pobreza de acabamento interno, marcha-ré não possui força"
"Contras";"consumo, conforto"
"Contras";"Fraco na marcha ré numa subida, o motor faz um certo barulhocomo se fosse batendo valvula assim como os gol 1.0."
"Contras";"O PARABRISA É UM DROGA,SÓ DESEMBAÇA COM O AR LIGADO, DEMORA PARA DESEMBAÇAR. NO INVERNO É UMA DROGA.COM AR LIGADO, O CARRO NÃO DESENVOLVE NADA!CONSUMO ALTÍSSIMO PARA 1.0JÁ TIVE QUE TROCAR VÁRIOS ÍTENS DO CARRO. QUANDO ACABAR A GARANTIA, VOU À FALÊNCIA. AS PEÇAS A SEREM TROCADAS DEMORAM A CHEGAR 10 DIAS EM MÉDIA."
"Contras";"Fraco desempenho em subidas, motor mais barulhento que o esperado, muito plástico no interior, desvaloriza rápido."
"Contras";"Acabamento interno, materiais ultilizados de baixa qualidade na parte interna do carro"
"Contras";"tod"
"Contras";"Acabamento interno frágil, falta de marcador de temperatura, painel de instrumentos muito pequeno."
"Contras";"Quase todos, mal acabento, desvalorização, itens internos descartaveis, ou seja quebram a toa, plasticos por dentro horriveis, o carro parece uma escola de samba tem ruido e batida pra todo lado, olha que o carro e 2007 e esta com 9.000 kms somente, gasta mais que um carro 2.0."
"Contras";"ruídos, coluna muito larga apresenta ponto morto"
"Contras";"suspensão, consumo, barulho nas portas, vidro eletrico, ar-condicionado, e outros"
"Contras";"Viibilidade traseira pouca, barulho na malota, malota pequena demais, o plástico do painel é muuuuuuuuuuuuuuuito largo e aquece muito de dia, oq não deixa o ar gelar bem e por ser um carro relativamente popular e da VW não deveria cosumir tanto."
"Contras";"BARULHOS GENERALIZADOS ( ACABAMENTO, SUSPENSÃO, CAMBIO, BANCOS, TAMPA DO PORTA MALAS; EMBREAGEM MUITO ALTA E SEM POSSIBILIDADE DE REGULAGEM,BANCO TRASEIRO QUE SE BOBEAR AMPUTA SEU DEDO, COLUNA DA LATERAL DIANTEIRA MUITO GRANDE ESCONDE OUTRO VEICULO NOS CRUZAMENTOS( UM CRIME), ENTRE OUTROS"
"Contras";"O CUNSUMO, A MÉDIA ESTA SENDO 7,8 PARA ALCOOL E 9, O PARA GAS NA CIDADE, NA ESTRADA 10,5 A 11 DEPENDE DO USO DO AR. ESPERO COM O AVANÇO DA KM O CONSUMO SEJA MELHORADO."
"Contras";"RUIDOS INTERNOS, CONSUMO DE COMBUSTIVEL ACIMA DO NORMAL PARA CARRO 1.0"
"Contras";"Motor 1.0 Fraco , Material de acabamento ruim ,Barulho interno relevante."
"Contras";"BARULHO DO COMBUSTIVEL NO TANQUE,RANGIDOS,VIAJAR COM O VIDRO TRASEIRO ABERTO CHEGA A DOER O OUVIDO,FRACO EM SUBIDAS,SE A SUBIDA FOR ACENTUADA DE MARCHA RÉ NEM PENSAR. ACABAMENTO INTERNO PLASTICO E PLASTICO,UM GRANDE PAINEL E POUCOS INSTRUMENTOS,FALTANDO INCLUSIVE MARCADOR DE TEMPERATURA (EM CARROS 1,0 NÃO DEVIA FALTAR ,POIS SE SOFRER ALTA TEMPERATURA PODE COMPROMETER A CORREIA DENTADA E ESSA SE QUEBRAR O MOTOR JA ERA.PREÇO DO CARRO PELO CONJUNTO MUITO CARO."
"Contras";"porta malas minusculo, portas pesadas, carro pesado para 1000 cc"
"Contras";"A começar pelo estilo: VW sem criatividade de novo. Igual ao Gol, usa muitas peças do irmão e é mais caro, só um pouco mais acabado que o Gol. A VW deveria investir num sedã medio (como Siena, Prisma...). O acabamento é mais ou menos. Tem muito plástico. Nos instrumentos... O conta giros é minusculo, nao tem graduação de temperatura, mas a iluminação é boa."
"Contras";"ACABAMENTO INTERNO BEM RUIM, PONTO CEGO (GRAVE) NA COLUNA À ESQUERDA DO MOTORISTA, CONSUMO MUITO ELEVADO DE COMBUSTIVEL, RELAÇÕES DE MARCHAS MUITO CURTAS (EM 5ª A 120-130KM/H O GIRO É RELATIVAMENTE ALTO E CONSEQUENTEMENTE O CONSUMO DE COMBUSTIVEL E RUIDO TAMBÉM), PORTA MALAS MINUSCULO, PAINEL DE INSTRUMENTOS MUITO 'FRAQUINHO' (não tem nem marcador gradual de temperatura), É BEM PERCEPTIVEL A TURBULENCIA CAUSADA POR VENTOS LATERAIS (O CARRO BALANÇA UM POUCO), VIDRO ABERTO EM ESTRADA CAUSA UMA TURBULENCIA INTERNA INSUSTENTÁVEL AOS OCUPANTES, POUCOS ITENS DE SERIE (O BASICO SÓ TEM DIR HIDRAULICA), O RESERVATORIO DE GASOLINA DA PARTIDA A FRIO É EXTREMAMENTE MINUSCULO"
"Contras";"Freio não muito confiável, porta-malas pequeno"
"Contras";"Falta de conta giros"
"Contras";"consome um pouco mais do deveria e ainda mais nessa epoca de extorsão nos postos... e do que a minha ilustrissima fiat uno ep que eu tambem gosto, mesmo vendo os confrontos entre donos de volks e fiat, mas,são veiculos de tecnologias bem diferentes"
"Contras";"Consumo, relação de marchas"
"Contras";"queria perguntar pro projetista o pq das rodas 5 furos, so da pra usar calotas de encaixe, elas caem sempre, meu fox esta na garagem e nem sei se estao todas la,porta malas melhor deixar quieto,limpador de para brisas ta trepando um no outro, alto consumo e pra quem gosta de velocidades excessivas melhor nao ter um"
"Contras";"Muitos ruídos internos e acabamento."
"Contras";"Suspensão dura, que privilegia a estabilidade, porém menos confortável para andar na cidade. Ponto cego na coluna dianteira. Preço elevado, comprei o meu usado uma vez que novo é um assalto"
"Contras";"ele é muito beberrão em determinadas situações, é fraco em grandes subidas, não cabe muita coisa no porta-malas e a suspensão é ruidosa."
"Contras";"COMO TODO VW POPULAR SUSPENSÃO DURA, BARULHOS NA SUSPENÇÃO TRASEIRA"
"Contras";"Um vidro abre menos do que o normal, reservatorio da partida a alcool estava furado, calota nao para e demora 2 meses pra conseguir outra na concessionaria. ALTO CONSUMOAtendimento na volkswagen é horrível."
"Contras";"Bebe pacas. Como já comentado: ponto cego na coluna dianteira. Muito barulho da suspensão"
"Contras";"- Coluna atrapalha nas curvas- Alavanca de ajuste de altura atrapalha na hora de sair do carro-Kit de som muito fracos-Porta mala pequeno mas quem compra sabe muito bem disso e sabe que é isso o que o carro oferece, então seria mais uma observação do que um ponto negativo, quem quer maior compra a space fox"
"Contras";"Para quem não fica exclusivamente na cidade, sugiro o motor 1.6."
"Contras";"a coluna que liga o teto ao capu dificulta muito o reflexo quase atropelei um motoqueiro e quase bati algumas veses tem que ser igual do unoque é excelente."
"Contras";"consumo muito alto de combustivel, eu lévo só na agencia autorizada vw ja gastei bastante com ele fiz tudo que o mecanico da agencia me pediu mas nao consigo fazer media com o fox ando numa velocidade entre 90 a 100 km hora e esta fazendo no maximo na estrada 10.5 por litro nao sei mas o que fazer estou muito insatisfeito com o mesmo."
"Contras";"Suspensao orrivel pior que a do fusca, bate amortecedor, e olha que ta tudo novo.Me arrependi da compra devido a suspensao do carro ou seja da carroça."
"Contras";"Não é muito econômico, as calotas realmente vc perde com facilidade... falta o porta trecos- porta objetos fechado no painel, que nas versões atuais ja foi corrigido... o Estofado nos primeiros meses de uso foi se soltando no banco do motorista"
"Contras";"esta escondido debaixo do capo."
"Contras";"painel muito fraquinho e dificil de pegar no alcool de manhã"
"Contras";"Tudo nesse carro parece muito caro, o preço dele mesmo, o seguro, peças, consumo. vá preparando o bolso. É verdade que o freio é meio esquisito, galera, vamos reclamar com a VW sobre esse freio."
"Contras";"o espaço no porta-malas deixa muito a desejar, mas como é fácil de rebater o banco esse problema dá p ser solucionado. A gaveta embaixo da cadeira do motorisca tem acabamento muito fraco. Muitos pontos cegos."
"Contras";"barulhos no painel, suspensão dura e bate muito em qualquer buraquinho, motor faz barulho com gasolina aditivada. o carro tem um mês de uso e está com 1000 km rodados, não parece carro zero, não recomendo."
"Contras";"Acabamento horroroso, tudo de plastico. Consumo alto para um carro pequeno"
"Contras";"achei o freio"
"Contras";"consumo excessivo"
"Contras";"Porta malas pequeno, estabilidade média, suspensao um pouco dura, mas não é ruim. Concessionária Vitoriawagen de Carapina tem péssimo atendimento, entregaram o carro faltando várias coisas, com tapete sujo, capô manchado, mta dor de cabeça!!!"
"Contras";"CONSUMO ALTO, PORTA MALAS, SUSPENSÃO"
"Contras";"assistência técnica"
"Contras";"Ponto cego na coluna dianteira e barulho na alavanca de marcha quando da 1ª para a 2ª marcha"
"Contras";"porta malas pequeno... calotas soltam muito fácil... revisões caras"
"Contras";"Conforto dos bancos."
"Contras";"Consumo de combustível alto, o painel do modelo do meu muito fraco, porta-malas pequeno, porta-luvas não exite, e sim uma prateleira aberta, onde as coisas ficam sambando nas curvas e gaveta ambaixo do banco do motorista que é até interessante, mas seria melhor se tivesse um porta-luvas normal. Barulho das palhetas do limpador escroto, que já bem de fábrica. Tem situações em que há pontos-cegos por conta da barra de segurança do lado esquerdo."
"Contras";"O porta malas é ridículo!!! O porta luvas fica embaixo do banco do motorista há ponto cego grande à frente-esquerda que em curvas fechadas é preciso olhar pela janela. Não tem muita estabilidade em curvas acima de 100km, com o aro 15 de fábrica."
"Contras";"Buchas das mesas da suspenção entargan-se em poucos meses. Colunas laterais atrapalham muito na visibilidade. Atendimento ruim nas concessionárias. Ruim nas retomadas de velocidades."
"Contras";"consumo alto, a garagem do meu carro é a concessionaria, pecas caras demais"
"Contras";"As vezes da impressão que não vai para ao frear, muito barulhento desde o primeiro dia. Consumo alto.8km/l na BR a 110km/h etanol."
"Contras";"motor barulhento"
"Contras";"Alavanca para ajuste do banco do motorista, ao sair do carro sempre agarra na calça, ao sair do carro."
"Contras";"Porta-malas pequeno."
"Contras";"Unica coisa, achei a suspensao um pouco dura pode ajudar tbem os pneus 195-55-15, para estrada de chão.. mas nem me preocupo, pois pego 200m apenas por dia.. pra chegar em casa... no asfalto ajuda, para manter estabilidade.."
"Contras";"O carro dá problema o tempo todo, de diversas formas diferentes!!! Consumo altíssimo!!!"
"Contras";"Consumo do carro é pessimo faz 5,9 km/l com alcool, e 8,7 km/l com gasolina com o ar condicionado ligado motor muito barulhento suspensão dura e barulhenta e as retomadas dele é pessima."
"Contras";"Suspensão é um pouco ruim e bate seco nos buracos, a posição da alavanca de elevação dos bancos poderia ser mais escondida pois sempre esbarra na saida e entrada no carro, não possui abertura interna do porta mala somente pela chave, é preciso desligar o carro para acionar o dispositivo. O porta malas poderia ser um pouco maior, mau cabe uma mala de 20Kg de vôo doméstico.O sistema de freios não distribui bem as frenagens parece que o carro só freia na frente, isso para o modelo PRIME com ABS, ainda não vi no TREND como é."
"Contras";"Bebe tudo mais um pouco e para quem trabalha com o carro, Não Dá! Faz entre 5 e 6 Km/L, BEBERRÂO.Barulhos no banco traseiro, coluna B e tampão do porta malas."
"Contras";"Não seria um ponto negativo, mas o porta malas é pequeno. Mas estou satisfeita pelo o que o carro oferece."
"Contras";"Porta mala minusculo. Sua frenagem é ruim também na versão sem ABS."
"Contras";"Suspensão baixa cuidado em estrada de chão, barra lateral dianteira atrapalha visibilidade nas conversões, apesar de bonito."
"Contras";"Péssima Suspensão"
"Contras";"consumo alto a maioria de carro flex o consumo é alto, a mala é pequena e o desempenho é fraco."
"Contras";"suspensao barulhenta"
"Contras";"Colunas do para-brisa causam ponto cego. O motorista deve estar atento quanto a isso, pricipalmente nos cruzamentos de vias."
"Contras";"exagero de consumo"
"Contras";"Supensão seca, má qualidade das peças plásticas parte interna das caixas de rodas e estrutura/encaixes banco traseiro."
"Contras";"motor 1.0 tem retomada ruim, acabamento arranha e começa a fazer barulho muito cedo, consome acima da média pra 1.0,"
"Contras";"Alto consumo, pouco arranque e retomada."
"Contras";"Excessiva quantidade de plásticos de má qualidade. Freio fraco não segura o caro quando preciso."
"Contras";"meu carro tem apenas 13.000 km e já apresentou problemas de vazamento de óleo da direção hidráulica, e também de freio.Quando o carro é ligado após um certo tempo de descanso, o freio não funciona. Realmente faz muito ruídos irritantes, parece que bate tudo por dentro. O cinto de segurança parece que vai me enforcar a qualquer hora. Nem sempre pega fácil no frio, quando abastecido com álcool.Visibilidade ruim para o motorista, quando há passageiro no banco da frente"
"Contras";"apenas o porta malas pequeno e o valor exagerado para um veiculo de medio porte."
"Contras";"consumo e acabamento"
"Contras";"Consumo altissimo acabamento interno em geral rangidos nas partes plasticas"
"Contras";"Vários, se eu for falar todos vou passar a noite toda falando aqui...Mas é um carro muito problematico, Motor fraco, Vive falhando, Já troquei velas, cabos de velas, limpeza de bicos, TROQUEI ATÉ A BUBINA quando o carro tinha 1 ano de uso, coisa que geralmente se troca com 4,5 anos...e olhe lá... Mas a falha não para!Manutenção cara, O CARRO BEBE IGUAL OU PIOR QUE UM 2.0, Acabamento é uma bosta! Vive quebrando... Pontos cegos são horriveis, Tudo é caro!!! NÃO ACONSELHO PRA NINGUÉM, NUNCA MAIS EU QUERO UM FOX!"
"Contras";"Um ponto negativo que mencionarei nem é o carro e sim a montadora. Acho que estão fabricando muitos carros e poucas concessionárias, fazendo com que qualquer serviço, manutenção, revisão, seja demorado. Mas o carro em si é excelente."
"Contras";"Motor FRACO!! desempenho horrivel!! Estabilidade PESSIMA!!etc...ect...etc..."
"Contras";"O consumo sofrível e a lentidão do carro"
"Contras";"consome muito para um carro 1.0. naõ me aguarda o ruidos do motor do carro em baixa rotação ou muitas vezes parado"
"Contras";"Falta de cruise-control."
"Contras";"horrivelmente barulhento. Pouco tempo de uso e troca-se rolamento e borrachas que amenizam os ruídos."
"Contras";"consome bem tanto alcool como gasolina, porta-malas pequeno, não gosto do barulho do motor em rotação baixa"
"Contras";"porta mala pequeno."
"Contras";"Preço alto, Porta malas pequeno"
"Contras";"Suspensão muito dura, qualquer buraco na pista se transforma numa cratera, acabamento interno com muito plástico e os ruídos são inevitáveis. Faltam alguns detalhes, como um indicador dos faróis com mostrador dos faróis de neblina, pois durante o dia só sei se estão ligados pelo reflexo nos outros carros, luz no porta malas, computador de bordo."
"Contras";"painel e muito fraquinho feio mesmo."
"Contras";"A suspensão é um pouco dura, ao menos quando comparo com a do Pálio que eu tenho. O porta malas é pequeno, mas também não é o propósito do carro ter um porta malas grande. Se quiser mais espaço, tem-se a opção de chegar o banco traseiro um pouco para frente, o que acrecentará uns 100 L a mais. Tem a opção de rebatê-lo também, se for o caso."
"Contras";"ruidos, muitas peças em plasticos"
"Contras";"Acabamento muito cheio de plástico. Aumenta ruidos."
"Contras";"Acabamento mal de VW, preço das revisões, consumo excessivo"
"Contras";"Barulhos, barulhos, barulhos e mais barulhos por todo lado. Suspensão, laterais, tampa traseira, bancos etc...Motor difícil de pegar com alcool, se ficar no sol durante umas 04 horas, quando for ligar o carro você ouve um estouro grande parecendo carro velho. Não é fato isolado, já tive um Gol 2006 que fazia a mesma coisa. Meu Deus estou muuuuuuuuuuuuuuuito arrependido."
"Contras";"tem que acender a lanterna p/ ver os instrumentos."
"Contras";"Trend vem com vários acessorios, porém sistema de Freios não funciona com regularidade."
"Contras";"De vez em quando escuto alguns grilos na janela do motorista, espero que na revisão eles possam dar uma olhada nisso pra mim."
"Contras";"consumo alto, barulho do motor chega a irritar acima de 3000 rpm."
"Contras";"acabamento, consumo de combustível, consumo de óleo do motor, falta de confiabilidade do freio, falta de potência do motor"
"Contras";"O motor é fraco para o peso do carro, apesar de na estrada não ter tido o menor problema. Abasteço com gasolina e existe variação de potência conforme o local que se abastece..."
"Contras";"PORTA MALAS PODERIA SER UM POUCO MAIOR AJUDARIA MUITO, O ACABAMENTO DO CARRO MELHOROU MUITO, MAIS AINDA TEM MUITO PLÁSTICO.ESTABILIDADE , EM ALTA VELOCIDADE O CARRO NÃO FICA TÃO ESTÁVEL."
"Contras";"Estabilidade em curvas, barulhos internos depois dos 10mil, falta de um porta-luvas, excesso de plasticos no interior do veiculo, o consumo poderia ser melhor para um carro 1.6, o preço poderia ser menor, é um carro muito carro para adquirir na concessionaria. Lembrando que dinheiro não dá em arvore."
"Contras";"Consumo absurdo, e ainda falam em meio ambiente, fazendo 5km/l com alcool e 7km/l com Gasolina, uma vergonha. E o pior é ir a concessionário e os malas falarem que nos testes fez 10km/l com alcool, uma piada, quem enche o tanque sou eu, e faz no máximo 260km/tanque. Ruidos de todos os tipo."
"Contras";"um pouco barulhento e o consumo de combustivel é um pouco elevado em transito urbano"
"Contras";"muito ruidos, motor sem forca, muitos pontos cegos"
"Contras";"Esse carro tem o motor muito fraco, faz um barulho no motor, parace que está estourando pipocas, alto consumo, o meu está fazendo uma média de 5 no alcool, terrivel!!!"
"Contras";"CONSUMO! Pelos meus cálculos, em 3 meses de uso, atualmente com 800-900Km rodados, o carro fez uma média de 7km/L. SIM! Um absurdo para um carro que é vendido com uma média de 13km/l. Procurando um conhecido que trabalha na VW/SP, disse que melhora com 1000Km rodados. Já um parente disse que carro da VW, só melhora com 10.000Km. Obs: Só uso gasolina. Pedais altos dizem que é assim e não tem como mudar. Não tem porta-luvas existe uma caixa abaixo do banco do motorista."
"Contras";"Consumo alto de combustível, baixo rendimento na cidade, falta força para motor 1.0 em subidas e ultrapassagens"
"Contras";"todos menos o estilo"
"Contras";"o consumo me deixou a desejar bebe mto"
"Contras";"Painel deficiente, falta marcador de temperatura e sobra marcador de contagiros."
"Contras";"Forro de Portas, Seguro, Suspensão"
"Contras";"nao"
"Contras";"O ponto negativo que pra mim não chega a ser é o cuidado com a manutençao preventiva. Todos donos de veiculos desleixados deixam a desejar, o camarada pode ter um Jetta, Passat , Civic , ou seja, qualquer carrão que ele não vai durar nada. Carro ruim existe sim , acredito muito na série que foi lançada , deu certo ou não deu. Quem não se lembra do Fiat Tipo ? Problemas com incêndio no chicote de fios . O carro ficou marcado, más existe Tipo inteiro nas ruas , depende muito de cada dono. Resumindo o Gol como qualquer outro 16v precisa de manutençao Preventiva , não espere estourar o problema pra depois arrumar ... senão amigo , prepara o bolso."
"Contras";"óleo um dos mais caro do mercado, desvalorização imposta pelo o mau uso."
"Contras";"algumas coisa que sairam nesse g5 q nao tem no g3"
"Contras";"MUITO BARULHO INTERNO, INTERIOR BEM SIMPLES MESMO SENDO UM MODELO 2005, RUIDO EXTERNOS"
"Contras";"o ponto negativo de alguns gols, é a lingua grande de quem não sabe e fala mal do carro, na verdade não falam mal do civic,corolla,jetta,entre outro e todos esses citados são 16v,mas os donos só usam o melhor óleo e não como esses pão duros que nem sabem cuidar do carro"
"Contras";"trepidações internas, barulhos terriveis nas portas e no painel... painel horrivel."
"Contras";"o painel deveria vir mais completo."
"Contras";"acabamento interno dos plasticos e fitas de acabamentos soltam faz barulho nelas. meu parachoque abriu de lado mas acredito q foi mau uso do antigo proprietario por deixar ele no sol, daquele lado."
"Contras";"barulho de tucho. e valor de revenda, desvalorização por ser um 16v por aqueles que nao souberam usar colocaram defeitos no caarro."
"Contras";"barulho interno. painel do g2"
"Contras";"Forro das portas feito de um tecido muito pobrinho... Embreagem um pouco dura, incomoda um pouco em engarrafamentos."
"Contras";"RUIDOS NAS PARTES PLASTICAS, RETOMADAS LENTAS E APESAR DE 1.0 NAO É TÃO ECONOMICO ASSIM!!!"
"Contras";"Os pontos negativos é parte de ruidos internos, o painel dele é do gol G2 que é o gol bolinha ou seja feio com luz fraca e verde feio pra caramba. o volante é feio também. O ponteiro de gasolina dele é grosso não igual ao do gol 16v que é mais preciso. Quando o marcador já tiver naquela parte vermelha corra e abasteça pois pode faltar gasolina qualquer momento. Tem alguns que ainda ascendem a luz mas outros nem ascendem. E quando o marcador tá próximo do vermelho e vc pega uma ladeira inclinada fica falhando. Resumindo abasteça sempre quando tiver com um 1/4 de gasolina dessa forma vc nunca vai passar por isso."
"Contras";"O bendito do volante torto, e claro preço do seguro!"
"Contras";"Porém depois de utiliza-lo por 3 anos estou desanimado com a mistica da Volkswagem de que o Gol é um carro robusto que nao dá problemas. Ultimamente o carro me deu muita dor de cabeça com manutenção e o pior ainda é o seguro é um absurdo o valor cobrado pelas seguradoras a cada ano o valor aumenta mesmo o carro desvalorizando."
"Contras";"altura do teto nos bancos de trás é muito baixa."
"Contras";"so o volante que é um pouco feio e o a caixa de cambio as marchas sao mto proximas as vezes vc engata a marcha errada"
"Contras";"painel muito simples para ser 2005, tem alguns ruidos, forros do teto."
"Contras";"pouco conforto, suspenção meio durona, instrumentos só tem relógio do velocimetro, fez ferver o meu por marcar luz erroneamente"
